"","date","id","winner","loser","date_2"
"1",2018-09-02,"/matches/4095501898","Braxstone","Thunder Predator",2001-01-08
"2",2018-09-02,"/matches/4097161887","Infamous","Thunder Predator",2001-01-17
"3",2018-09-02,"/matches/4097069837","Infamous","Thunder Predator",2001-01-21
"4",2018-09-02,"/matches/4097052213","Infamous","Thunder Predator",2001-02-01
"5",2018-09-02,"/matches/4096947701","Thunder Predator","Infamous",2001-02-26
"6",2018-09-02,"/matches/4096105880","ALPHA Red","BOOM ID",2001-03-09
"7",2018-09-02,"/matches/4095994938","BOOM ID","ALPHA Red",2001-03-10
"8",2018-09-02,"/matches/4095870485","ALPHA Red","BOOM ID",2001-03-11
"9",2018-09-03,"/matches/4097517459","Infamous","Thunder Predator",2001-03-25
"10",2018-09-03,"/matches/4097498887","Infamous","Thunder Predator",2001-03-28
"11",2018-09-03,"/matches/4097432323","Thunder Predator","Infamous",2001-03-31
"12",2018-09-03,"/matches/4097350172","Infamous","Thunder Predator",2001-04-01
"13",2018-09-05,"/matches/4101419087","Eclipse","Newbee Young",2001-05-07
"14",2018-09-05,"/matches/4101301257","Eclipse","Newbee Young",2001-05-27
"15",2018-09-08,"/matches/4105909734","Natural 9","Athletico Esports",2001-06-10
"16",2018-09-10,"/matches/4111251019","Team Spirit","FCDB Esports",2001-06-13
"17",2018-09-10,"/matches/4110601085","Tigers","ALPHA Red",2001-06-27
"18",2018-09-11,"/matches/4111570858","Infamous Young","WP Gaming",2001-07-05
"19",2018-09-11,"/matches/4112868021","Team Spirit","Team Empire",2001-07-07
"20",2018-09-11,"/matches/4112779377","Team Spirit","Team Empire",2001-07-15
"21",2018-09-11,"/matches/4112669900","Team Empire","Team Spirit",2001-07-17
"22",2018-09-12,"/matches/4113588353","Team Aster","Team MAX",2001-07-31
"23",2018-09-12,"/matches/4113536130","Team Aster","Team MAX",2001-08-02
"24",2018-09-13,"/matches/4115531983","Royal Never Give Up","Team EVER",2001-08-07
"25",2018-09-13,"/matches/4115452011","Royal Never Give Up","Team EVER",2001-08-19
"26",2018-09-13,"/matches/4115360234","Team EVER","Royal Never Give Up",2001-09-01
"27",2018-09-14,"/matches/4118101619","Natus Vincere","Team Empire",2001-09-04
"28",2018-09-14,"/matches/4118023610","Team Empire","Natus Vincere",2001-09-14
"29",2018-09-14,"/matches/4117932126","Natus Vincere","Team Empire",2001-09-18
"30",2018-09-14,"/matches/4117135715","DeathBringer Gaming","Team EVER",2001-09-27
"31",2018-09-14,"/matches/4117043994","DeathBringer Gaming","Team EVER",2001-09-30
"32",2018-09-15,"/matches/4118816109","DeathBringer Gaming","Keen Gaming",2001-10-01
"33",2018-09-15,"/matches/4118701638","Keen Gaming","DeathBringer Gaming",2001-10-04
"34",2018-09-15,"/matches/4118573518","DeathBringer Gaming","Keen Gaming",2001-10-08
"35",2018-09-15,"/matches/4119116138","EHOME","Mr Game Boy",2001-10-09
"36",2018-09-15,"/matches/4118987953","EHOME","Mr Game Boy",2001-10-29
"37",2018-09-15,"/matches/4118904381","Mr Game Boy","EHOME",2001-11-06
